latitude;longitude;classificacao_acidente;relev
-25.85455838;-48.95670808;Com Vítimas Feridas;1
-26.75604307;-50.31916109;Com Vítimas Feridas;1
-22.513866;-44.69955;Com Vítimas Feridas;1
-26.93668609;-48.69876905;Com Vítimas Feridas;1
-20.74424605;-44.7725478;Com Vítimas Feridas;1
-19.74948916;-40.37922678;Sem Vítimas;1
-26.37724921;-48.71953282;Com Vítimas Feridas;1
-22.566853;-45.220757;Com Vítimas Feridas;1
-20.49313702;-43.83689143;Com Vítimas Feridas;1
-20.67348593;-43.7968977;Com Vítimas Feridas;1
-5.25068704;-39.82316796;Com Vítimas Feridas;1
-10.906002;-37.11189687;Com Vítimas Feridas;1
-15.94845528;-39.55936432;Com Vítimas Feridas;1
-19.77845564;-47.92307138;Com Vítimas Feridas;1
-19.45923317;-48.05872556;Com Vítimas Feridas;1
-21.32476394;-41.70949227;Sem Vítimas;1
-18.22327267;-47.97410309;Com Vítimas Feridas;1
-23.42403383;-45.07492113;Com Vítimas Feridas;1
-29.76125014;-53.78681035;Com Vítimas Feridas;1
-20.96779165;-49.59638906;Com Vítimas Feridas;1
-21.67252614;-43.44374992;Com Vítimas Feridas;1
-16.61894941;-43.6887828;Com Vítimas Feridas;1
-16.61894941;-43.6887828;Com Vítimas Feridas;1
-29.76733091;-51.1535296;Com Vítimas Fatais;1
-7.87406004;-34.90588126;Com Vítimas Feridas;1
-21.12414431;-42.38099548;Com Vítimas Feridas;1
-26.76404198;-48.68657667;Com Vítimas Feridas;1
-21.10258681;-42.37840131;Com Vítimas Feridas;1
-14.03517803;-40.20217596;Com Vítimas Fatais;1
-20.17292791;-40.26736384;Com Vítimas Feridas;1
-14.03704037;-40.20363092;Com Vítimas Feridas;1
-19.86363214;-43.12254285;Com Vítimas Feridas;1
-5.7710445;-35.26616981;Com Vítimas Feridas;1
-19.78510701;-42.13445297;Com Vítimas Feridas;1
-16.37465;-39.579426;Com Vítimas Feridas;1
-19.89290688;-40.41230369;Com Vítimas Feridas;1
-22.58856193;-44.09534501;Com Vítimas Feridas;1
-19.84407789;-43.30732499;Com Vítimas Feridas;1
-27.48443781;-48.64765238;Com Vítimas Feridas;1
-13.86351018;-56.08627166;Com Vítimas Feridas;1
-12.819983;-38.407786;Com Vítimas Feridas;1
-9.33211208;-40.46621385;Com Vítimas Feridas;1
-20.87261896;-43.79985605;Com Vítimas Feridas;1
-26.16857105;-49.81820938;Com Vítimas Feridas;1
-20.77838195;-49.35300538;Com Vítimas Feridas;1
-25.35274977;-53.58271385;Com Vítimas Feridas;1
-22.18945458;-54.68550733;Com Vítimas Feridas;1
-27.77781898;-48.63489608;Com Vítimas Feridas;1
-24.14014023;-51.00552499;Com Vítimas Feridas;1
-27.6167305;-48.6457265;Com Vítimas Feridas;1
-19.73362414;-40.36120476;Com Vítimas Feridas;1
-16.4669101;-43.43947986;Com Vítimas Feridas;1
-23.1133221;-46.57174974;Com Vítimas Feridas;1
-23.37806597;-50.06216712;Com Vítimas Fatais;1
-20.16619722;-44.36914378;Com Vítimas Feridas;1
-16.6776;-49.2314;Com Vítimas Feridas;1
-19.84962291;-43.10954212;Com Vítimas Feridas;1
-15.36227805;-39.49889917;Com Vítimas Feridas;1
-20.343377;-54.518468;Com Vítimas Feridas;1
-23.93901304;-47.06241203;Com Vítimas Feridas;1
-10.96521816;-45.19590458;Com Vítimas Feridas;1
-7.69825093;-43.89945795;Com Vítimas Feridas;1
